Accuracy,Precision,Recall,F1 Score,AUC,Loss,TP,TN,FP,FN,ML_Model
0.74,0.8040540540540541,0.8380281690140845,0.8206896551724138,0.7536425449247208,0.5207260242449602,119,29,29,23,LR
0.73,0.7735849056603774,0.8723404255319149,0.82,0.7532155307128261,0.5193953089708252,123,23,36,18,LR
0.7,0.7567567567567568,0.8235294117647058,0.7887323943661971,0.7556295955882353,0.548417605755151,112,28,36,24,LR
0.72,0.7677419354838709,0.8561151079136691,0.8095238095238095,0.7518575303691473,0.5333294106927989,119,25,36,20,LR
0.745,0.7884615384615384,0.8723404255319149,0.8282828282828283,0.8044236086068036,0.4769356497321206,123,26,33,18,LR
0.735,0.782608695652174,0.875,0.8262295081967214,0.7357390873015873,0.5312384190854076,126,21,35,18,LR
0.72,0.7453416149068323,0.8888888888888888,0.8108108108108109,0.772991452991453,0.5411627536668693,120,24,41,15,LR
0.825,0.8607594936708861,0.912751677852349,0.8859934853420195,0.8473483353072773,0.4290170290658554,136,29,22,13,LR
0.755,0.7972972972972973,0.8613138686131386,0.8280701754385965,0.781369482099409,0.5183541186838769,118,33,30,19,LR
0.785,0.8333333333333334,0.8940397350993378,0.8626198083067093,0.8229490471685362,0.4376539818148277,135,22,27,16,LR
0.74,0.7905405405405406,0.8478260869565217,0.8181818181818182,0.80411407199626,0.49377203611814074,117,31,31,21,LR
0.76,0.7784810126582279,0.9044117647058824,0.8367346938775511,0.7586167279411765,0.524586741527136,123,29,35,13,LR
0.755,0.7484662576687117,0.9384615384615385,0.8327645051194539,0.8098901098901099,0.5107136159587568,122,29,41,8,LR
0.71,0.7837837837837838,0.8169014084507042,0.8,0.7668771248178728,0.5193151965603603,116,26,32,26,LR
0.755,0.7905405405405406,0.8666666666666667,0.8268551236749117,0.7900854700854701,0.5058110350208606,117,34,31,18,LR
0.715,0.7908496732026143,0.8287671232876712,0.8093645484949833,0.7900811770674785,0.4844778310939595,121,22,32,25,LR
0.745,0.7843137254901961,0.8695652173913043,0.8247422680412371,0.7924263674614306,0.499238441656958,120,29,33,18,LR
0.74,0.7870967741935484,0.8652482269503546,0.8243243243243243,0.7844692871739392,0.4927095579384045,122,26,33,19,LR
0.765,0.7727272727272727,0.9083969465648855,0.8350877192982457,0.8155769443522513,0.4954171992610379,119,34,35,12,LR
0.735,0.8051948051948052,0.8435374149659864,0.8239202657807309,0.7853934026440764,0.4823155566447006,124,23,30,23,LR
0.75,0.7452229299363057,0.9212598425196851,0.823943661971831,0.8214863553014778,0.5146243806419512,117,33,40,10,LR
0.775,0.8098159509202454,0.9041095890410958,0.8543689320388349,0.7898274987316083,0.4697558297344113,132,23,31,14,LR
0.805,0.8486842105263158,0.8896551724137931,0.8686868686868687,0.8312225705329155,0.4445885777655903,129,32,23,16,LR
0.73,0.7532467532467533,0.8787878787878788,0.8111888111888111,0.7907754010695187,0.5171785489198506,116,30,38,16,LR
0.725,0.7712418300653595,0.855072463768116,0.8109965635738832,0.7792192613370734,0.5091054021787571,118,27,35,20,LR
0.755,0.7791411042944786,0.9071428571428571,0.8382838283828383,0.7849999999999999,0.5002834848431709,127,24,36,13,LR
0.78,0.8366013071895425,0.8707482993197279,0.8533333333333334,0.782697984854319,0.48479592807662414,128,28,25,19,LR
0.73,0.7777777777777778,0.875,0.8235294117647058,0.7431795634920635,0.5167929767617073,126,20,36,18,LR
0.735,0.7635135135135135,0.8625954198473282,0.8100358422939068,0.8065051443743777,0.509449145068682,113,34,35,18,LR
0.775,0.8013698630136986,0.8796992481203008,0.8387096774193549,0.8514195937605208,0.4544780070030863,117,38,29,16,LR
0.725,0.7647058823529411,0.8602941176470589,0.8096885813148789,0.7657398897058824,0.533041112484003,117,28,36,19,LR
0.77,0.7947019867549668,0.8888888888888888,0.8391608391608392,0.8142450142450142,0.4898111734351885,120,34,31,15,LR
0.74,0.75625,0.9029850746268657,0.8231292517006803,0.7970375395748529,0.513921742875769,121,27,39,13,LR
0.765,0.777027027027027,0.8914728682170543,0.8303249097472925,0.8428867780325363,0.47007426078376613,115,38,33,14,LR
0.745,0.7793103448275862,0.8560606060606061,0.8158844765342961,0.7920008912655971,0.5149770614264653,113,36,32,19,LR
0.785,0.8280254777070064,0.8904109589041096,0.858085808580858,0.8124048706240488,0.45308644041229956,130,27,27,16,LR
0.775,0.8223684210526315,0.8741258741258742,0.847457627118644,0.7838302048828365,0.49353873847906293,125,30,27,18,LR
0.77,0.8176100628930818,0.8843537414965986,0.8496732026143791,0.7986137851366962,0.4589897336720464,130,24,29,17,LR
0.72,0.7315436241610739,0.872,0.7956204379562044,0.7918933333333332,0.5428106542937509,109,35,40,16,LR
0.72,0.7544910179640718,0.8936170212765957,0.8181818181818182,0.7701646832551989,0.5349517122900158,126,18,41,15,LR
0.755,0.8175675675675675,0.8461538461538461,0.8316151202749141,0.7711937185621396,0.5068566181732419,121,30,27,22,LR
0.775,0.7945205479452054,0.8854961832061069,0.8375451263537906,0.8204447394623299,0.48892844107471034,116,39,30,15,LR
0.775,0.8116883116883117,0.8865248226950354,0.847457627118644,0.799615338382017,0.48384395707203715,125,30,29,16,LR
0.725,0.7531645569620253,0.8814814814814815,0.8122866894197952,0.7568091168091168,0.5473876305362311,119,26,39,16,LR
0.75,0.7911392405063291,0.8802816901408451,0.8333333333333334,0.8101019912578922,0.47222153495284325,125,25,33,17,LR
0.75,0.8068965517241379,0.841726618705036,0.823943661971831,0.7934897983252742,0.4958539381800513,117,33,28,22,LR
0.755,0.7911392405063291,0.8865248226950354,0.8361204013377926,0.7817045317946868,0.512867882219968,125,26,33,16,LR
0.74,0.7770700636942676,0.8776978417266187,0.8243243243243243,0.787121122773912,0.492262866386653,122,26,35,17,LR
0.8,0.8431372549019608,0.8896551724137931,0.8657718120805369,0.7842006269592476,0.4875137023515262,129,31,24,16,LR
0.695,0.7533333333333333,0.8248175182481752,0.7874564459930313,0.7583130575831305,0.5470952210201996,113,26,37,24,LR
