Accuracy,Precision,Recall,F1 Score,AUC,Loss,TP,TN,FP,FN,ML_Model
0.705,0.7862068965517242,0.8028169014084507,0.794425087108014,0.6341670713938806,10.63287774978956,114,27,31,28,DT
0.645,0.75,0.7446808510638298,0.7473309608540926,0.5757302560403895,12.79549695313659,105,24,35,36,DT
0.68,0.7769230769230769,0.7426470588235294,0.7593984962406015,0.6447610294117647,11.533969084517489,101,35,29,35,DT
0.69,0.7894736842105263,0.7553956834532374,0.7720588235294118,0.6481896450053072,11.173532550626316,105,33,28,34,DT
0.655,0.7727272727272727,0.723404255319149,0.7472527472527473,0.6074648395239812,12.435060419245415,102,29,30,39,DT
0.705,0.8057553956834532,0.7777777777777778,0.7915194346289752,0.6478174603174602,10.632877749789559,112,29,27,32,DT
0.68,0.75177304964539,0.7851851851851852,0.7681159420289855,0.6233618233618234,11.533969084517489,106,30,35,29,DT
0.745,0.8656716417910447,0.7785234899328859,0.8197879858657244,0.7127911567311487,9.191131614224874,116,33,18,33,DT
0.7,0.7769784172661871,0.7883211678832117,0.782608695652174,0.6481288379098598,10.813096016735146,108,32,31,29,DT
0.755,0.8642857142857143,0.8013245033112583,0.8316151202749141,0.706784700635221,8.830695080333703,121,30,19,30,DT
0.695,0.781021897810219,0.7753623188405797,0.7781818181818182,0.645745675549322,10.993314283680732,107,32,30,31,DT
0.72,0.7666666666666667,0.8455882352941176,0.8041958041958042,0.6493566176470589,10.092222948952804,115,29,35,21,DT
0.705,0.7482517482517482,0.823076923076923,0.7838827838827839,0.6543956043956044,10.632877749789559,107,34,36,23,DT
0.675,0.7655172413793103,0.7816901408450704,0.7735191637630662,0.5977416221466731,11.714187351463075,111,24,34,31,DT
0.62,0.7398373983739838,0.674074074074074,0.7054263565891473,0.5908831908831909,13.696588287864518,91,33,32,44,DT
0.695,0.8014184397163121,0.773972602739726,0.7874564459930313,0.6277270421106038,10.993314283680728,113,26,28,33,DT
0.705,0.7687074829931972,0.8188405797101449,0.7929824561403509,0.6352267414679758,10.632877749789559,113,28,34,25,DT
0.65,0.7553956834532374,0.7446808510638298,0.75,0.5842048323115758,12.615278686191004,105,25,34,36,DT
0.725,0.7676056338028169,0.8320610687022901,0.7985347985347986,0.6769000995685364,9.912004682007217,109,36,33,22,DT
0.755,0.8450704225352113,0.8163265306122449,0.8304498269896193,0.7006160954948017,8.830695080333703,120,31,22,27,DT
0.675,0.7313432835820896,0.7716535433070866,0.7509578544061303,0.6392514291877899,11.714187351463075,98,37,36,29,DT
0.695,0.7931034482758621,0.7876712328767124,0.7903780068728522,0.6160578386605784,10.993314283680732,115,24,30,31,DT
0.715,0.8235294117647058,0.7724137931034483,0.797153024911032,0.668025078369906,10.27244121589839,112,31,24,33,DT
0.72,0.7533333333333333,0.8560606060606061,0.8014184397163121,0.6559714795008913,10.092222948952802,113,31,37,19,DT
0.695,0.7769784172661871,0.782608695652174,0.779783393501805,0.6413043478260869,10.993314283680732,108,31,31,30,DT
0.7,0.7777777777777778,0.8,0.7887323943661971,0.6333333333333334,10.813096016735146,112,28,32,28,DT
0.65,0.7894736842105263,0.7142857142857143,0.75,0.5929919137466308,12.615278686191004,105,25,28,42,DT
0.685,0.7755102040816326,0.7916666666666666,0.7835051546391752,0.6011904761904762,11.353750817571903,114,23,33,30,DT
0.675,0.7426470588235294,0.7709923664122137,0.7565543071161048,0.6318729948003097,11.714187351463075,101,34,35,30,DT
0.735,0.8125,0.7819548872180451,0.7969348659003831,0.7118729659970824,9.551568148116045,104,43,24,29,DT
0.68,0.7727272727272727,0.75,0.7611940298507462,0.640625,11.533969084517489,102,34,30,34,DT
0.665,0.753731343283582,0.7481481481481481,0.7509293680297398,0.6202279202279202,12.074623885354248,101,32,33,34,DT
0.705,0.7622377622377622,0.8134328358208955,0.7870036101083032,0.6491406603346902,10.632877749789559,109,32,34,25,DT
0.755,0.7941176470588235,0.8372093023255814,0.8150943396226416,0.7214215525712415,8.830695080333703,108,43,28,21,DT
0.67,0.7619047619047619,0.7272727272727273,0.7441860465116279,0.643048128342246,11.89440561840866,96,38,30,36,DT
0.645,0.7819548872180451,0.7123287671232876,0.7455197132616488,0.5876458650431253,12.79549695313659,104,25,29,42,DT
0.69,0.7913669064748201,0.7692307692307693,0.7801418439716312,0.6302294197031039,11.173532550626316,110,28,29,33,DT
0.67,0.8045112781954887,0.7278911564625851,0.7642857142857142,0.618662559363368,11.89440561840866,107,27,26,40,DT
0.65,0.7007299270072993,0.768,0.732824427480916,0.6106666666666667,12.615278686191004,96,34,41,29,DT
0.71,0.782312925170068,0.8156028368794326,0.7986111111111112,0.6366149777617502,10.452659482843973,115,27,32,26,DT
0.75,0.8297872340425532,0.8181818181818182,0.823943661971831,0.6985645933014355,9.010913347279288,117,33,24,26,DT
0.65,0.732824427480916,0.732824427480916,0.732824427480916,0.6127890253346608,12.615278686191004,96,34,35,35,DT
0.72,0.7931034482758621,0.8156028368794326,0.8041958041958042,0.6535641303041231,10.092222948952804,115,29,30,26,DT
0.675,0.7611940298507462,0.7555555555555555,0.758364312267658,0.6316239316239316,11.714187351463075,102,33,32,33,DT
0.675,0.7692307692307693,0.7746478873239436,0.7719298245614035,0.602841185041282,11.714187351463075,110,25,33,32,DT
0.69,0.7769784172661871,0.7769784172661871,0.7769784172661871,0.6343908479773559,11.173532550626316,108,30,31,31,DT
0.665,0.7642857142857142,0.7588652482269503,0.7615658362989324,0.5997716071643227,12.074623885354248,107,26,33,34,DT
0.66,0.7482517482517482,0.7697841726618705,0.7588652482269503,0.5898101191178204,12.254842152299831,107,25,36,32,DT
0.705,0.7945205479452054,0.8,0.7972508591065293,0.6272727272727273,10.632877749789559,116,25,30,29,DT
0.71,0.7724137931034483,0.8175182481751825,0.7943262411347518,0.6468543621828293,10.452659482843973,112,30,33,25,DT
0.745,0.8115942028985508,0.8175182481751825,0.8145454545454546,0.7024099177383849,9.191131614224874,112,37,26,25,DT
0.655,0.7586206896551724,0.7638888888888888,0.7612456747404844,0.5694444444444444,12.435060419245417,110,21,35,34,DT
0.61,0.6971830985915493,0.7388059701492538,0.717391304347826,0.5436454093170511,14.05702482175569,99,23,43,35,DT
0.715,0.8057553956834532,0.7887323943661971,0.797153024911032,0.6616075764934434,10.27244121589839,112,31,27,30,DT
0.675,0.7910447761194029,0.7412587412587412,0.7653429602888087,0.6250153355416513,11.714187351463075,106,29,28,37,DT
0.695,0.8031496062992126,0.7391304347826086,0.769811320754717,0.6679523141654979,10.993314283680732,102,37,25,36,DT
0.655,0.7448275862068966,0.7714285714285715,0.7578947368421053,0.5773809523809523,12.435060419245417,108,23,37,32,DT
0.695,0.782258064516129,0.7404580152671756,0.7607843137254902,0.6745768337205443,10.993314283680732,97,42,27,34,DT
0.64,0.7007299270072993,0.7559055118110236,0.7272727272727273,0.5971308380972926,12.975715220082174,96,32,41,31,DT
0.72,0.7837837837837838,0.8285714285714286,0.8055555555555556,0.6476190476190476,10.092222948952802,116,28,32,24,DT
0.725,0.8106060606060606,0.781021897810219,0.7955390334572491,0.6920982504924111,9.912004682007217,107,38,25,30,DT
0.63,0.7352941176470589,0.7246376811594203,0.7299270072992701,0.5719962599345488,13.336151753973345,100,26,36,38,DT
0.685,0.7872340425531915,0.7708333333333334,0.7789473684210526,0.617559523809524,11.353750817571903,111,26,30,33,DT
0.625,0.7412587412587412,0.7361111111111112,0.7386759581881533,0.5376984126984128,13.51637002091893,106,19,37,38,DT
0.68,0.7727272727272727,0.8040540540540541,0.7880794701986755,0.5654885654885654,11.533969084517489,119,17,35,29,DT
0.655,0.75,0.7659574468085106,0.7578947368421053,0.5778939776415435,12.435060419245417,108,23,36,33,DT
0.715,0.8156028368794326,0.7876712328767124,0.8013937282229965,0.6530948756976155,10.27244121589839,115,28,26,31,DT
0.695,0.7692307692307693,0.7971014492753623,0.7829181494661922,0.6324216923796167,10.993314283680732,110,29,33,28,DT
0.72,0.8206896551724138,0.7986577181208053,0.8095238095238095,0.644426898276089,10.092222948952804,119,25,26,30,DT
0.695,0.8244274809160306,0.7397260273972602,0.779783393501805,0.6569000507356672,10.993314283680732,108,31,23,38,DT
0.715,0.7891156462585034,0.8169014084507042,0.8027681660899654,0.6412093249150073,10.27244121589839,116,27,31,26,DT
0.7,0.7925925925925926,0.7697841726618705,0.781021897810219,0.6553838896096238,10.813096016735146,107,33,28,32,DT
0.725,0.8098591549295775,0.8041958041958042,0.8070175438596491,0.6652557968347442,9.912004682007217,115,30,27,28,DT
0.7,0.8085106382978723,0.7755102040816326,0.7916666666666666,0.6330381209087408,10.813096016735146,114,26,27,33,DT
0.64,0.7441860465116279,0.7111111111111111,0.7272727272727273,0.6017094017094018,12.975715220082174,96,32,33,39,DT
0.68,0.8129496402877698,0.7483443708609272,0.7793103448275862,0.6088660629814839,11.533969084517489,113,23,26,38,DT
0.685,0.7762237762237763,0.7816901408450704,0.7789473684210526,0.614983001457018,11.353750817571903,111,26,32,31,DT
0.72,0.8161764705882353,0.7816901408450704,0.7985611510791367,0.6753278290432249,10.092222948952804,111,33,25,31,DT
0.69,0.8114754098360656,0.717391304347826,0.7615384615384615,0.6732117812061711,11.17353255062632,99,39,23,39,DT
0.695,0.785234899328859,0.8013698630136986,0.7932203389830509,0.604388635210553,10.993314283680732,117,22,32,29,DT
0.635,0.7681159420289855,0.7210884353741497,0.743859649122807,0.5586574252342447,13.15593348702776,106,21,32,41,DT
0.685,0.7841726618705036,0.7676056338028169,0.7758007117437722,0.625182127246236,11.353750817571902,109,28,30,33,DT
0.68,0.7906976744186046,0.7338129496402878,0.7611940298507462,0.6455949994103077,11.533969084517489,102,34,27,37,DT
0.68,0.7769230769230769,0.7426470588235294,0.7593984962406015,0.6447610294117647,11.533969084517489,101,35,29,35,DT
0.68,0.8629032258064516,0.6948051948051948,0.7697841726618705,0.6626199887069453,11.533969084517489,107,29,17,47,DT
0.69,0.7832167832167832,0.7832167832167832,0.7832167832167832,0.6196785670469881,11.173532550626316,112,26,31,31,DT
0.68,0.7708333333333334,0.7816901408450704,0.7762237762237763,0.6063623118018455,11.533969084517489,111,25,33,31,DT
0.675,0.7923076923076923,0.7304964539007093,0.7601476014760148,0.6364346676283208,11.714187351463075,103,32,27,38,DT
0.69,0.777027027027027,0.7986111111111112,0.7876712328767124,0.6046626984126984,11.17353255062632,115,23,33,29,DT
0.69,0.7744360902255639,0.762962962962963,0.7686567164179104,0.6507122507122507,11.173532550626316,103,35,30,32,DT
0.685,0.7793103448275862,0.7847222222222222,0.7820069204152249,0.6066468253968254,11.353750817571903,113,24,32,31,DT
0.7,0.8148148148148148,0.7586206896551724,0.7857142857142857,0.6520376175548589,10.813096016735146,110,30,25,35,DT
0.69,0.7638888888888888,0.7971014492753623,0.7801418439716312,0.6243571762505844,11.173532550626316,110,28,34,28,DT
0.655,0.7379310344827587,0.7753623188405797,0.7561837455830389,0.581229546517064,12.435060419245417,107,24,38,31,DT
0.71,0.7708333333333334,0.8161764705882353,0.7928571428571428,0.6502757352941176,10.452659482843973,111,31,33,25,DT
0.66,0.7642857142857142,0.7535211267605634,0.7588652482269503,0.592277804759592,12.254842152299831,107,25,33,35,DT
0.765,0.8050314465408805,0.8888888888888888,0.8448844884488449,0.6676587301587301,8.47025854644253,128,25,31,16,DT
0.725,0.7959183673469388,0.823943661971831,0.8096885813148789,0.653351141330743,9.912004682007217,117,28,30,25,DT
0.64,0.7066666666666667,0.7910447761194029,0.7464788732394366,0.5621890547263682,12.975715220082174,106,22,44,28,DT
0.725,0.8043478260869565,0.7985611510791367,0.8014440433212996,0.6779691001297322,9.912004682007217,111,34,27,28,DT
0.745,0.8181818181818182,0.823943661971831,0.8210526315789474,0.7385866925692084,0.5531429684251966,117,32,26,25,LR
0.76,0.7852760736196319,0.9078014184397163,0.8421052631578947,0.758264214448852,0.5163391984805057,128,24,35,13,LR
0.715,0.7651006711409396,0.8382352941176471,0.8,0.7501148897058824,0.5584846948720926,114,29,35,22,LR
0.715,0.777027027027027,0.8273381294964028,0.8013937282229965,0.7532727916027834,0.5351742421280659,115,28,33,24,LR
0.745,0.8,0.851063829787234,0.8247422680412371,0.8015386464719317,0.48211412681266574,120,29,30,21,LR
0.715,0.7843137254901961,0.8333333333333334,0.8080808080808081,0.7508680555555556,0.517338409006598,120,23,33,24,LR
0.75,0.7672955974842768,0.9037037037037037,0.8299319727891157,0.7888319088319088,0.5256808815031547,122,28,37,13,LR
0.815,0.8636363636363636,0.8926174496644296,0.8778877887788779,0.8618239242005528,0.4011296814559189,133,30,21,16,LR
0.75,0.8,0.8467153284671532,0.8226950354609929,0.7842660178426601,0.5195888097301411,116,34,29,21,LR
0.795,0.8353658536585366,0.9072847682119205,0.8698412698412699,0.8179483714015409,0.4436274993408255,137,22,27,14,LR
0.755,0.7986577181208053,0.8623188405797102,0.8292682926829268,0.8062178588125292,0.48240402414112055,119,32,30,19,LR
0.76,0.7894736842105263,0.8823529411764706,0.8333333333333334,0.7682674632352942,0.5212664615594802,120,32,32,16,LR
0.735,0.7452229299363057,0.9,0.8153310104529616,0.8103296703296704,0.5066079091578625,117,30,40,13,LR
0.705,0.7862068965517242,0.8028169014084507,0.794425087108014,0.7700339970859641,0.5184269833501927,114,27,31,28,LR
0.74,0.7677419354838709,0.8814814814814815,0.8206896551724138,0.7966951566951567,0.50375525812802,119,29,36,16,LR
0.75,0.8076923076923077,0.863013698630137,0.8344370860927153,0.7916032470826991,0.4694348966845335,126,24,30,20,LR
0.76,0.8040540540540541,0.8623188405797102,0.8321678321678322,0.7959326788218795,0.4937196763992887,119,33,29,19,LR
0.73,0.7880794701986755,0.8439716312056738,0.815068493150685,0.7831470128621227,0.4959801459401467,119,27,32,22,LR
0.745,0.773972602739726,0.8625954198473282,0.8158844765342961,0.8179002102002434,0.49872868298135786,113,36,33,18,LR
0.73,0.8251748251748252,0.8027210884353742,0.8137931034482758,0.7898857656270055,0.486180570702967,118,28,25,29,LR
0.725,0.7278481012658228,0.905511811023622,0.8070175438596491,0.7816848236436199,0.5620285448615491,115,30,43,12,LR
0.77,0.8125,0.8904109589041096,0.8496732026143791,0.7975646879756468,0.47278073773350576,130,24,30,16,LR
0.78,0.8300653594771242,0.8758620689655172,0.8523489932885906,0.833730407523511,0.43905914274796404,127,29,26,18,LR
0.74,0.7631578947368421,0.8787878787878788,0.8169014084507042,0.7901069518716577,0.5189210271690394,116,32,36,16,LR
0.75,0.7894736842105263,0.8695652173913043,0.8275862068965517,0.7698690977092099,0.516170038783314,120,30,32,18,LR
0.72,0.7625,0.8714285714285714,0.8133333333333334,0.785952380952381,0.5130884268148421,122,22,38,18,LR
0.715,0.8125,0.7959183673469388,0.8041237113402062,0.7592093441150044,0.5097661413782122,117,26,27,30,LR
0.715,0.7735849056603774,0.8541666666666666,0.8118811881188119,0.7321428571428571,0.530257983220002,123,20,36,21,LR
0.775,0.7905405405405406,0.8931297709923665,0.8387096774193549,0.8306228565106759,0.4799164211888909,117,38,31,14,LR
0.765,0.7986111111111112,0.8646616541353384,0.8303249097472925,0.8456963303781843,0.45989304282443777,115,38,29,18,LR
0.75,0.7986111111111112,0.8455882352941176,0.8214285714285714,0.7786075367647058,0.5224620220718905,115,35,29,21,LR
0.755,0.7828947368421053,0.8814814814814815,0.8292682926829268,0.8150427350427351,0.4898504402136088,119,32,33,16,LR
0.75,0.7727272727272727,0.8880597014925373,0.8263888888888888,0.7992989597467209,0.5151856915369976,119,31,35,15,LR
0.79,0.8041958041958042,0.8914728682170543,0.8455882352941176,0.8500928048913636,0.46432620672016134,115,43,28,14,LR
0.735,0.7801418439716312,0.8333333333333334,0.8058608058608059,0.7896613190730839,0.5182494359945548,110,37,31,22,LR
0.78,0.8311688311688312,0.8767123287671232,0.8533333333333334,0.817351598173516,0.4493756557724632,128,28,26,18,LR
