Accuracy,Precision,Recall,F1 Score,AUC,Loss,TP,TN,FP,FN,ML_Model
0.675,0.6994818652849741,0.9507042253521126,0.8059701492537313,0.4726809130645945,6.949594431286687,135,0,58,7,NN
0.695,0.7083333333333334,0.9645390070921985,0.8168168168168168,0.4234282966702729,7.653697759694096,136,3,56,5,NN
0.64,0.6702127659574468,0.9264705882352942,0.7777777777777778,0.484375,7.900084648025203,126,2,62,10,NN
0.66,0.6898395721925134,0.9280575539568345,0.7914110429447853,0.45311947163580607,7.203723143267408,129,3,58,10,NN
0.66,0.6972972972972973,0.9148936170212766,0.7914110429447853,0.4800456785671355,6.712892270844191,129,3,56,12,NN
0.635,0.6983240223463687,0.8680555555555556,0.7739938080495357,0.4749503968253968,5.900995555102198,125,2,54,19,NN
0.655,0.675531914893617,0.9407407407407408,0.7863777089783281,0.49179487179487175,7.513996975786845,127,4,61,8,NN
0.73,0.7461139896373057,0.9664429530201343,0.8421052631578947,0.5,5.831591401223107,144,2,49,5,NN
0.65,0.679144385026738,0.927007299270073,0.7839506172839507,0.4843587069864442,7.254759442503601,127,3,60,10,NN
0.69,0.7379679144385026,0.9139072847682119,0.8165680473372781,0.4277605081767807,6.3201372819182735,138,0,49,13,NN
0.575,0.6778523489932886,0.7318840579710145,0.7038327526132404,0.3749415614773259,6.019103240769925,101,14,48,37,NN
0.65,0.671875,0.9485294117647058,0.7865853658536586,0.471047794117647,7.677619383843771,129,1,63,7,NN
0.62,0.640625,0.9461538461538461,0.7639751552795031,0.41412087912087914,9.485218881337216,123,1,69,7,NN
0.695,0.7120418848167539,0.9577464788732394,0.8168168168168168,0.47340942204953856,6.38595728272011,136,3,55,6,NN
0.66,0.6735751295336787,0.9629629629629629,0.7926829268292683,0.5255840455840455,7.29077438955095,130,2,63,5,NN
0.69,0.723404255319149,0.9315068493150684,0.8143712574850299,0.4334728564180619,6.693849450498443,136,2,52,10,NN
0.655,0.6825396825396826,0.9347826086956522,0.7889908256880734,0.4364773258532024,7.7356756587100755,129,2,60,9,NN
0.655,0.6914893617021277,0.9219858156028369,0.790273556231003,0.43875465801178026,7.626843824932886,130,1,58,11,NN
0.61,0.6402116402116402,0.9236641221374046,0.75625,0.4251576501825423,8.800007105061804,121,1,68,10,NN
0.71,0.7305699481865285,0.9591836734693877,0.8294117647058824,0.5739956359902452,5.087890390871389,141,1,52,6,NN
0.62,0.6335078534031413,0.952755905511811,0.7610062893081762,0.4468234278934312,9.3188595705411,121,3,70,6,NN
0.7,0.7287234042553191,0.9383561643835616,0.8203592814371258,0.48217909690512434,5.674789845166257,137,3,51,9,NN
0.695,0.7210526315789474,0.9448275862068966,0.817910447761194,0.5016300940438871,6.3610340047929,137,2,53,8,NN
0.635,0.6544502617801047,0.946969696969697,0.7739938080495357,0.4793894830659537,8.577010468691073,125,2,66,7,NN
0.645,0.679144385026738,0.9202898550724637,0.7815384615384615,0.4632421692379617,7.6266932667919844,127,2,60,11,NN
0.665,0.689119170984456,0.95,0.7987987987987988,0.44958333333333333,7.608653442064268,133,0,60,7,NN
0.685,0.7258064516129032,0.9183673469387755,0.8108108108108109,0.36696187909125916,7.698372949213408,135,2,51,12,NN
0.675,0.7068062827225131,0.9375,0.8059701492537313,0.41096230158730157,7.183956584968619,135,0,56,9,NN
0.63,0.6507936507936508,0.9389312977099237,0.76875,0.36558247593760373,9.258212447426528,123,3,66,8,NN
0.64,0.6596858638743456,0.9473684210526315,0.7777777777777778,0.4135338345864662,8.460734093252249,126,2,65,7,NN
0.585,0.6645962732919255,0.7867647058823529,0.7205387205387206,0.4069967830882353,5.956080720625831,107,10,54,29,NN
0.65,0.6701570680628273,0.9481481481481482,0.7852760736196319,0.4573219373219373,7.5837051586051505,128,2,63,7,NN
0.655,0.671957671957672,0.9477611940298507,0.7863777089783281,0.43781094527363185,8.124455293466081,127,4,62,7,NN
0.6,0.6310160427807486,0.9147286821705426,0.7468354430379747,0.4097062998143902,8.922847171136585,118,2,69,11,NN
0.63,0.6542553191489362,0.9318181818181818,0.76875,0.46869429590017825,8.128832421042484,123,3,65,9,NN
0.695,0.7248677248677249,0.9383561643835616,0.817910447761194,0.4642313546423136,6.599313355364774,137,2,52,9,NN
0.685,0.717391304347826,0.9230769230769231,0.8073394495412844,0.4971169181695498,5.65680981003562,132,5,52,11,NN
0.715,0.7393617021276596,0.9455782312925171,0.8298507462686567,0.48158131176999097,5.88646688141884,139,4,49,8,NN
0.62,0.6269430051813472,0.968,0.7610062893081762,0.5056,9.008898246204067,121,3,72,4,NN
0.69,0.7068062827225131,0.9574468085106383,0.8132530120481928,0.48052650558961413,6.211624611857263,135,3,56,6,NN
0.69,0.7120418848167539,0.951048951048951,0.8143712574850299,0.5241688136424979,6.450617267491057,136,2,55,7,NN
0.635,0.6526315789473685,0.9465648854961832,0.7725856697819314,0.39904856731939375,9.328183252807321,124,3,66,7,NN
0.675,0.7043010752688172,0.9290780141843972,0.8012232415902141,0.48918139199423005,6.288982927506562,131,4,55,10,NN
0.64,0.6649214659685864,0.9407407407407408,0.7791411042944786,0.4919088319088319,7.564748449973552,127,1,64,8,NN
0.665,0.7027027027027027,0.9154929577464789,0.7951070336391437,0.4229601748421564,7.391847974107143,130,3,55,12,NN
0.665,0.6914893617021277,0.935251798561151,0.7951070336391437,0.5272437787474937,6.2203033196579165,130,3,58,9,NN
0.59,0.697986577181208,0.7375886524822695,0.7172413793103448,0.43803341747806224,4.577294339593162,104,14,45,37,NN
0.58,0.6845637583892618,0.7338129496402878,0.7083333333333334,0.4195659865550183,4.877517606414103,102,14,47,37,NN
0.71,0.7277486910994765,0.9586206896551724,0.8273809523809523,0.43191222570532917,7.080140292500735,139,3,52,6,NN
0.64,0.671957671957672,0.927007299270073,0.7791411042944786,0.4193025141930251,7.881553427517552,127,1,62,10,NN
0.655,0.6789473684210526,0.9416058394160584,0.7889908256880734,0.5225350480824933,7.14337631786138,129,2,61,8,NN
0.675,0.7158469945355191,0.9097222222222222,0.8012232415902141,0.4564732142857143,5.730754816938818,131,4,52,13,NN
0.635,0.6596858638743456,0.9402985074626866,0.7753846153846153,0.4763681592039801,7.213224492985009,126,1,65,8,NN
0.69,0.7127659574468085,0.9436619718309859,0.8121212121212121,0.5125667799902867,6.4704980378945285,134,4,54,8,NN
