,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,credit_risk,cluster
321,<0,24,existing paid,radio/tv,1938,<100,<1,4,male div/sep,none,3,life insurance,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,none,yes,bad,0
644,<0,18,critical/other existing credit,radio/tv,1880,<100,4<=X<7,4,male div/sep,none,1,life insurance,32.44618891398711,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good,0
643,no checking,24,critical/other existing credit,radio/tv,1851,<100,4<=X<7,4,male div/sep,guarantor,2,car,32.44618891398711,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good,0
542,<0,30,existing paid,furniture/equipment,6350,no known savings,>=7,4,male div/sep,none,4,life insurance,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,none,yes,bad,0
467,no checking,48,delayed previously,radio/tv,7238,no known savings,>=7,3,male div/sep,none,3,car,32.44618891398711,bank,own,2,high qualif/self emp/mgmt,2,none,yes,good,0
914,<0,24,all paid,business,3161,<100,1<=X<4,4,male div/sep,none,2,life insurance,32.44618891398711,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad,0
995,no checking,12,existing paid,furniture/equipment,1736,<100,4<=X<7,3,male div/sep,none,4,real estate,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,0
498,0<=X<200,18,existing paid,radio/tv,1301,<100,>=7,4,male div/sep,guarantor,2,real estate,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,0
166,<0,18,existing paid,furniture/equipment,1131,<100,unemployed,4,male div/sep,none,2,car,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,none,yes,bad,0
15,<0,24,existing paid,radio/tv,1282,100<=X<500,1<=X<4,4,male div/sep,none,2,car,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,none,yes,bad,0
216,<0,18,no credits/all paid,business,3104,<100,4<=X<7,3,male div/sep,none,1,life insurance,32.44618891398711,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,good,0
328,>=200,36,existing paid,radio/tv,4473,<100,>=7,4,male div/sep,none,2,car,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,0
855,no checking,24,existing paid,new car,1474,100<=X<500,<1,4,male div/sep,none,3,real estate,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,0
916,no checking,10,existing paid,used car,2848,100<=X<500,1<=X<4,1,male div/sep,co applicant,2,real estate,32.44618891398711,none,own,1,high qualif/self emp/mgmt,2,none,yes,good,0
730,0<=X<200,24,delayed previously,radio/tv,6403,<100,<1,1,male div/sep,none,2,car,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,0
53,no checking,18,existing paid,used car,3378,no known savings,1<=X<4,2,male div/sep,none,1,life insurance,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,0
755,<0,24,existing paid,new car,1285,no known savings,4<=X<7,4,male div/sep,none,4,no known property,32.44618891398711,none,rent,1,high qualif/self emp/mgmt,1,none,yes,bad,0
343,0<=X<200,18,existing paid,business,4439,<100,>=7,1,male div/sep,co applicant,1,real estate,32.44618891398711,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,good,0
170,<0,15,no credits/all paid,new car,950,<100,>=7,4,male div/sep,none,3,car,32.44618891398711,none,rent,2,high qualif/self emp/mgmt,2,none,yes,bad,0
305,no checking,6,existing paid,furniture/equipment,1543,>=1000,1<=X<4,4,male div/sep,none,2,real estate,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,0
19,no checking,24,existing paid,radio/tv,3430,500<=X<1000,>=7,3,male div/sep,none,2,car,32.44618891398711,none,own,1,high qualif/self emp/mgmt,2,yes,yes,good,0
34,>=200,12,existing paid,furniture/equipment,1474,<100,<1,4,male div/sep,none,1,life insurance,32.44618891398711,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,good,0
36,no checking,48,critical/other existing credit,education,6110,<100,1<=X<4,1,male div/sep,none,3,no known property,32.44618891398711,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,good,0
57,no checking,36,critical/other existing credit,radio/tv,9566,<100,1<=X<4,2,male div/sep,none,2,car,32.44618891398711,stores,own,2,high qualif/self emp/mgmt,1,none,yes,good,0
