Model,k,n_cluster,Mean Loss - Proposed model,Mean Loss - Baseline,p-value
NB,20,30,1.7444429922,1.3150924573815583,2.521850872130451e-18
SVM,20,40,0.6207696368,0.6318351936996691,0.006812045740640588
SVM,20,50,0.6209971662,0.6318351936996691,0.019859767353179028
RF,20,40,0.4686490421999999,0.4919988064257906,3.3759514598998466e-09
NN,20,2,3.553326601,7.1022657159623614,2.0177434491871465e-11
DT,20,10,10.901402967500003,11.205971838676478,0.06032491707229585
RF,20,50,0.4715371702,0.4919988064257906,4.454237078636237e-07
NB,20,20,1.5517143395,1.3150924573815583,3.9364827870829386e-07
LR,20,2,0.491268355,0.4975248070471089,0.17953853434672334
LR,20,50,0.49149124180000003,0.4975248070471089,0.21579983719125231
DT,20,30,10.885183324000002,11.205971838676478,0.06962207978100077
RF,20,2,0.4633800731,0.4919988064257906,1.1054760478545095e-11
NN,20,50,1.2253857177,7.1022657159623614,1.0132066766429844e-71
NB,20,10,1.3572417960999996,1.3150924573815583,0.2676995443205004
NN,20,40,1.8674600175,7.1022657159623614,5.643645753471568e-64
SVM,20,30,0.6233612945,0.6318351936996691,0.06317390104252893
SVM,20,20,0.6243594101,0.6318351936996691,0.08095121476385525
DT,20,20,10.888787688899997,11.205971838676478,0.060097200745024656
LR,20,40,0.4902410732,0.4975248070471089,0.111397197415053
RF,20,30,0.46884017349999996,0.4919988064257906,3.6238571027186154e-10
LR,20,10,0.49206552150000005,0.4975248070471089,0.042148596180625435
SVM,20,2,0.6312254314,0.6318351936996691,0.8779861385223771
NN,20,10,3.0672378671000002,7.1022657159623614,5.026457534403374e-17
DT,20,2,10.968083726400003,11.205971838676478,0.14664776314867553
NB,20,40,1.7820792409000004,1.3150924573815583,8.34014036464416e-18
NB,20,50,1.9647163195000001,1.3150924573815583,8.581088542937212e-23
RF,20,20,0.4646975951,0.4919988064257906,6.046195953473769e-12
NN,20,20,3.5190388514,7.1022657159623614,1.1428849939458334e-11
SVM,20,10,0.6272705105999999,0.6318351936996691,0.17661162784567375
LR,20,20,0.4877837031,0.4975248070471089,0.04456481387552388
DT,20,40,10.8275134782,11.205971838676478,0.020940994020065825
NB,20,2,1.2510812628,1.3150924573815583,0.11346852196163774
DT,20,50,10.847337487699999,11.205971838676478,0.02325395595909873
LR,20,30,0.49035307719999993,0.4975248070471089,0.12064853325845583
RF,20,10,0.4703232458,0.4919988064257906,1.1895124726975065e-08
NN,20,30,1.9766327213000003,7.1022657159623614,4.858651328514958e-53
