checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,credit_risk,cluster
<0,12,critical/other existing credit,new car,2121,<100,1<=X<4,4,male mar/wid,none,2,life insurance,33.703765770976226,none,own,2,high qualif/self emp/mgmt,1,none,yes,good,0
no checking,18,existing paid,new car,2662,no known savings,4<=X<7,4,male mar/wid,none,3,life insurance,33.703765770976226,none,own,1,high qualif/self emp/mgmt,1,none,no,good,0
no checking,10,existing paid,used car,2901,no known savings,<1,1,male mar/wid,none,4,real estate,33.703765770976226,none,rent,1,high qualif/self emp/mgmt,1,none,yes,good,0
0<=X<200,24,delayed previously,furniture/equipment,2064,<100,unemployed,3,male mar/wid,none,2,life insurance,33.703765770976226,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad,0
<0,6,critical/other existing credit,radio/tv,1957,<100,4<=X<7,1,male mar/wid,none,4,car,33.703765770976226,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,0
<0,24,existing paid,furniture/equipment,7721,no known savings,<1,1,male mar/wid,none,2,life insurance,33.703765770976226,none,own,1,high qualif/self emp/mgmt,1,yes,no,good,0
no checking,24,critical/other existing credit,furniture/equipment,5150,<100,>=7,4,male mar/wid,none,4,car,33.703765770976226,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,0
>=200,42,no credits/all paid,business,6289,<100,<1,2,male mar/wid,none,1,life insurance,33.703765770976226,none,own,2,high qualif/self emp/mgmt,1,none,yes,good,0
0<=X<200,9,existing paid,furniture/equipment,918,<100,1<=X<4,4,male mar/wid,none,1,life insurance,33.703765770976226,none,own,1,high qualif/self emp/mgmt,1,none,yes,bad,0
0<=X<200,12,no credits/all paid,retraining,1410,<100,1<=X<4,2,male mar/wid,none,2,real estate,33.703765770976226,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,0
no checking,6,critical/other existing credit,radio/tv,1898,no known savings,1<=X<4,1,male mar/wid,none,2,real estate,33.703765770976226,none,own,2,high qualif/self emp/mgmt,2,none,yes,good,0
0<=X<200,30,delayed previously,radio/tv,1919,100<=X<500,<1,4,male mar/wid,none,3,no known property,33.703765770976226,stores,own,2,high qualif/self emp/mgmt,1,none,yes,bad,0
no checking,24,delayed previously,business,2978,no known savings,1<=X<4,4,male mar/wid,none,4,real estate,33.703765770976226,none,own,2,high qualif/self emp/mgmt,2,yes,yes,good,0
no checking,36,existing paid,business,5742,100<=X<500,4<=X<7,2,male mar/wid,none,2,car,33.703765770976226,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good,0
0<=X<200,12,existing paid,new car,6078,<100,4<=X<7,2,male mar/wid,none,2,car,33.703765770976226,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,0
no checking,18,existing paid,radio/tv,2051,<100,<1,4,male mar/wid,none,1,real estate,33.703765770976226,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,0
no checking,12,existing paid,radio/tv,1493,<100,<1,4,male mar/wid,none,3,car,33.703765770976226,none,own,1,high qualif/self emp/mgmt,2,none,yes,good,0
no checking,18,existing paid,radio/tv,4594,<100,<1,3,male mar/wid,none,2,car,33.703765770976226,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,0
no checking,36,critical/other existing credit,radio/tv,9566,<100,1<=X<4,2,male mar/wid,none,2,car,33.703765770976226,stores,own,2,high qualif/self emp/mgmt,1,none,yes,good,0
no checking,24,critical/other existing credit,radio/tv,1851,<100,4<=X<7,4,male mar/wid,guarantor,2,car,33.703765770976226,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good,0
no checking,12,critical/other existing credit,business,1264,no known savings,>=7,4,male div/sep,none,4,no known property,57.68750610295319,none,rent,1,skilled,1,none,yes,good,3
no checking,30,existing paid,radio/tv,1867,no known savings,>=7,4,male div/sep,none,4,car,57.68750610295319,none,own,1,skilled,1,yes,yes,good,3
<0,9,existing paid,radio/tv,1364,<100,4<=X<7,3,male div/sep,none,4,real estate,57.68750610295319,none,own,1,skilled,1,none,yes,good,3
<0,48,critical/other existing credit,used car,6143,<100,>=7,4,male div/sep,none,4,no known property,57.68750610295319,stores,for free,2,skilled,1,none,yes,bad,3
>=200,42,critical/other existing credit,used car,4796,<100,>=7,4,male div/sep,none,4,no known property,57.68750610295319,none,for free,1,skilled,1,none,yes,good,3
0<=X<200,54,no credits/all paid,business,15945,<100,<1,3,male div/sep,none,4,no known property,57.68750610295319,none,rent,1,skilled,1,yes,yes,bad,3
<0,12,critical/other existing credit,radio/tv,385,<100,4<=X<7,4,male div/sep,none,3,real estate,57.68750610295319,none,own,4,skilled,1,yes,yes,good,3
<0,24,existing paid,other,1755,<100,>=7,4,male div/sep,guarantor,4,real estate,57.68750610295319,none,own,1,skilled,1,yes,yes,good,3
<0,24,critical/other existing credit,radio/tv,1231,>=1000,>=7,4,male div/sep,none,4,life insurance,57.68750610295319,none,rent,2,skilled,1,yes,yes,good,3
<0,12,existing paid,radio/tv,709,<100,>=7,4,male div/sep,none,4,real estate,57.68750610295319,stores,own,1,skilled,1,none,yes,bad,3
0<=X<200,48,all paid,business,6416,<100,>=7,4,male div/sep,none,3,no known property,57.68750610295319,none,rent,1,skilled,1,none,yes,bad,3
0<=X<200,36,delayed previously,new car,2225,<100,>=7,4,male div/sep,none,4,no known property,57.68750610295319,bank,for free,2,skilled,1,yes,yes,bad,3
0<=X<200,36,existing paid,new car,14318,<100,>=7,4,male div/sep,none,2,no known property,57.68750610295319,none,for free,1,skilled,1,yes,yes,bad,3
>=200,24,existing paid,radio/tv,1258,500<=X<1000,1<=X<4,3,male div/sep,none,3,car,57.68750610295319,none,own,1,skilled,1,none,yes,good,3
no checking,12,critical/other existing credit,radio/tv,618,<100,>=7,4,male div/sep,none,4,real estate,57.68750610295319,none,own,1,skilled,1,none,yes,good,3
no checking,6,existing paid,education,1538,<100,<1,1,male div/sep,none,2,no known property,57.68750610295319,none,own,1,skilled,1,none,yes,good,3
no checking,12,critical/other existing credit,education,2748,<100,>=7,2,male div/sep,none,4,no known property,57.68750610295319,bank,for free,3,skilled,1,none,yes,good,3
<0,30,existing paid,furniture/equipment,3622,>=1000,>=7,4,male div/sep,none,4,life insurance,57.68750610295319,none,rent,2,skilled,1,yes,yes,good,3
no checking,15,critical/other existing credit,new car,5045,no known savings,>=7,1,male div/sep,none,4,car,57.68750610295319,none,own,1,skilled,1,yes,yes,good,3
no checking,11,critical/other existing credit,radio/tv,1154,100<=X<500,unemployed,4,male div/sep,none,4,real estate,57.68750610295319,none,own,3,skilled,1,none,yes,good,3
<0,12,existing paid,furniture/equipment,7865,<100,>=7,4,female div/dep/mar,none,4,no known property,53.742336630933586,none,for free,1,unemp/unskilled non res,1,yes,yes,bad,5
no checking,12,delayed previously,repairs,1555,>=1000,>=7,4,female div/dep/mar,none,4,no known property,53.742336630933586,none,for free,2,unemp/unskilled non res,2,none,yes,bad,5
<0,24,delayed previously,new car,4870,<100,1<=X<4,3,female div/dep/mar,none,4,no known property,53.742336630933586,none,for free,2,unemp/unskilled non res,2,none,yes,bad,5
<0,24,all paid,furniture/equipment,6872,<100,<1,2,female div/dep/mar,none,1,life insurance,53.742336630933586,bank,own,1,unemp/unskilled non res,1,yes,yes,bad,5
<0,12,existing paid,furniture/equipment,2578,<100,unemployed,3,female div/dep/mar,none,4,no known property,53.742336630933586,none,for free,1,unemp/unskilled non res,1,none,yes,good,5
<0,24,existing paid,radio/tv,1603,<100,>=7,4,female div/dep/mar,none,4,car,53.742336630933586,none,own,1,unemp/unskilled non res,1,none,yes,good,5
>=200,12,existing paid,furniture/equipment,1424,no known savings,>=7,3,female div/dep/mar,none,4,real estate,53.742336630933586,none,own,1,unemp/unskilled non res,1,yes,yes,good,5
no checking,24,existing paid,furniture/equipment,2835,500<=X<1000,>=7,3,female div/dep/mar,none,4,life insurance,53.742336630933586,none,own,1,unemp/unskilled non res,1,none,yes,good,5
<0,12,existing paid,education,795,<100,<1,4,female div/dep/mar,none,4,life insurance,53.742336630933586,none,own,1,unemp/unskilled non res,1,none,yes,bad,5
no checking,30,all paid,used car,7485,no known savings,unemployed,4,female div/dep/mar,none,1,real estate,53.742336630933586,bank,own,1,unemp/unskilled non res,1,yes,yes,bad,5
no checking,24,critical/other existing credit,radio/tv,2424,no known savings,>=7,4,female div/dep/mar,none,4,life insurance,53.742336630933586,none,own,2,unemp/unskilled non res,1,none,yes,good,5
<0,18,critical/other existing credit,repairs,1190,<100,unemployed,2,female div/dep/mar,none,4,no known property,53.742336630933586,none,for free,3,unemp/unskilled non res,2,none,yes,bad,5
